138,"ООО ""Медицинские Системы""",9102013703
139,"ООО ""Эльдент""",9111007142
140,ООО «Семейная стоматология»  ,9111015295
141,ООО «Бейрут Дента»,9102051755
142,"ООО ""МРЦ ""Гармония""",9111004455
143,"ООО ""МРТ Феодосия""",9108111231
144,"ООО ""Блеск"" ",6154138497
145,"РГБЛПУ ""Республиканская Стоматологическая Поликлиника"" ",901017000
146,РГБ ЛПУ «Республиканская детская стоматологическая поликлиника»,901016983
147,Республиканское государственное бюджетное лечебно-профилактическое учреждение «Республиканская детская многопрофильная больница»,901002282
148,"ООО ""КЛИНИКА ""ВАШ ДОКТОР""",917026673
149,"РГБУЗ ""ЧГКБ"" ",901027093
150,"РГБУЗ ""КЦГРБ""",902009354
151,"РГБУЗ ""Малокарачаевская ЦРБ""  ",906002712
152,"ООО ""Жемчужина""",917021065
